"Timestamp","Age  ","Gender","School","  Have you played Pickleball before?  ","Experience with motion-based digital games (e.g. Nintendo Switch/Wii games)","Do you have experience with coding/programming?","The game helped me understand how body movement and reaction time affect performance. ","I became more aware of physical concepts (e.g. balance, coordination) while playing. ","The game encouraged me to experiment and observe how actions affect outcomes. ","I could connect the gameplay experience to real-world sports or science. ","The human pose detection worked effectively to support gameplay. ","The game technology (Unity + webcam) felt reliable and responsive. ","The use of real-time tracking increased my interest in digital technologies. ","I found the game easy to use without special hardware such as remote controller.","The system design (paddle, ball, scoring) was logical and easy to understand. ","The integration of components (pose detection, Unity, scoring) worked smoothly. ","The game demonstrated how system parts can interact to achieve results. ","Playing the game made me curious about how such systems are engineered. ","The visuals and graphics were appealing and enhanced my experience. ","The creativity of the game design made it more engaging. ","The sound and UI design improved immersion. ","The overall presentation motivated me to continue playing. ","I could see how scoring reflected mathematical calculations. ","The timing and angles of ball movement related to mathematical concepts. ","I understood how geometry (angles, trajectories) affects outcomes. ","I became more aware of quantitative aspects (speed, accuracy, score).","The game was enjoyable and motivated me to continue playing. ","I learned something new or gained insights through the gameplay. ","I believe this game could be useful in an educational or training setting. "
"2025/10/08 7:07:38 pm GMT+8","19","Male","School of Foundation Studies","No","No","","4","3","3","3","3","3","5","4","4","3","3","4","3","3","4","4","3","3","3","3","4","4","4"
"2025/10/08 7:08:01 pm GMT+8","18","Male","School of Foundation Studies","No","No","","4","3","4","4","4","4","5","5","5","5","5","5","3","3","4","4","5","4","5","4","4","5","5"
"2025/10/08 7:27:29 pm GMT+8","18","Female","School of Economics and Management","No","Yes","","5","5","5","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 7:27:55 pm GMT+8","18","Female","School of Economics and Management","No","No","","4","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 7:35:56 pm GMT+8","%8","Female","School of Electrical and Computer Engineering","No","Yes","","5","4","3","3","4","3","3","3","4","4","5","4","3","4","4","4","3","4","4","4","4","4","4"
"2025/10/08 7:37:04 pm GMT+8","17","Female","School of Electrical and Computer Engineering","Yes","Yes","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 7:39:40 pm GMT+8","18","Female","School of Traditional Chinese Medicine","No","No","","4","3","4","4","2","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/10/08 7:39:58 pm GMT+8","19","Female","School of Traditional Chinese Medicine","Yes","Yes","","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/10/08 7:57:16 pm GMT+8","19","Male","School of Electrical and Computer Engineering","Yes","Yes","","4","4","4","4","4","4","4","3","5","5","4","5","3","3","4","3","4","4","4","4","4","4","4"
"2025/10/08 7:58:16 pm GMT+8","18","Male","School of Economics and Management","No","Yes","","4","3","3","3","3","3","5","4","5","5","4","5","4","5","4","5","5","5","5","5","4","5","5"
"2025/10/08 8:10:50 pm GMT+8","19","Female","School of Electrical and Computer Engineering","No","Yes","","5","4","4","4","5","4","4","4","4","4","4","5","4","4","4","4","4","4","3","4","4","4","4"
"2025/10/08 8:12:10 pm GMT+8","19","Male","School of Electrical and Computer Engineering","Yes","No","","4","4","4","3","4","4","4","3","4","4","4","4","3","4","3","4","5","5","5","5","4","4","4"
"2025/10/08 8:14:13 pm GMT+8","17","Male","Bachelor of Artificial Intelligence and Engneering","No","Yes","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 8:15:00 pm GMT+8","17","Male","Ai","Yes","Yes","","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5"
"2025/10/08 8:18:49 pm GMT+8","18","Male","School of Foundation Studies","No","No","","5","5","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","5"
"2025/10/08 8:24:43 pm GMT+8","21","Male","School of Foundation Studies","Yes","Yes","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 8:30:55 pm GMT+8","18","Male","School of Electrical and Computer Engineering","No","No","","5","5","5","5","4","4","5","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 8:35:00 pm GMT+8","17","Female","School of Foundation Studies","Yes","Yes","","5","2","5","4","3","5","3","5","3","4","4","5","3","3","4","4","2","4","4","4","3","3","3"
"2025/10/08 8:41:19 pm GMT+8","23","Female","School of Electrical and Computer Engineering","Yes","Yes","","3","4","4","5","2","4","4","3","5","2","4","4","3","4","3","4","3","4","4","3","4","4","5"
"2025/10/08 8:44:19 pm GMT+8","18","Female","School of Economics and Management","No","Yes","","4","4","5","5","5","5","4","5","5","5","5","4","5","5","5","5","4","5","5","5","4","5","5"
"2025/10/08 8:45:39 pm GMT+8","18","Female","School of Electrical and Computer Engineering","No","No","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 8:45:58 pm GMT+8","19","Female","School of Traditional Chinese Medicine","No","Yes","","5","5","5","5","2","5","2","2","5","3","5","4","4","4","4","2","5","5","5","3","2","3","4"
"2025/10/08 8:48:42 pm GMT+8","21","Male","School of Energy and Chemical Engineering","No","Yes","","5","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/10/08 8:49:09 pm GMT+8","21","Prefer not to say","School of Electrical and Computer Engineering","No","No","","4","4","4","5","4","5","4","4","4","4","4","4","3","4","4","5","3","4","4","4","5","5","5"
"2025/10/08 8:50:17 pm GMT+8","21","Male","School of Energy and Chemical Engineering","No","Yes","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5"
"2025/10/08 8:51:35 pm GMT+8","20","Male","School of Electrical and Computer Engineering","No","No","","3","5","1","4","3","3","4","3","4","3","4","2","3","4","4","4","2","4","4","4","3","4","4"
"2025/10/08 8:52:01 pm GMT+8","20","Male","School of Economics and Management","No","No","","3","3","3","3","3","5","5","5","5","4","5","3","3","3","4","5","5","5","5","5","3","3","5"
"2025/10/08 8:53:35 pm GMT+8","18","Male","Artificial Intelligence","Yes","No","","5","5","5","4","5","5","5","4","4","4","4","5","5","4","4","5","4","4","5","4","4","4","5"
"2025/10/08 8:54:39 pm GMT+8","17","Male","School of Electrical and Computer Engineering","No","Yes","","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","5"
"2025/10/08 9:00:38 pm GMT+8","18","Male","School of Energy and Chemical Engineering","No","Yes","","4","5","5","5","5","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","5","5","5"
"2025/10/08 9:10:06 pm GMT+8","23","Male","School of Economics and Management","Yes","Yes","","1","3","3","3","2","3","3","3","3","3","3","3","3","3","2","5","4","4","4","4","5","5","5"
"2025/10/08 9:13:24 pm GMT+8","17","Female","School of Economics and Management","No","Yes","","5","3","5","4","4","4","4","5","5","4","5","5","5","5","5","5","4","4","5","5","5","3","5"
"2025/10/08 9:13:35 pm GMT+8","18","Male","School of Economics and Management","No","No","","5","4","5","5","4","4","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 9:14:56 pm GMT+8","17","Female","School of Electrical and Computer Engineering","No","No","","4","4","4","4","4","5","5","5","4","4","4","5","5","5","5","4","3","4","4","4","5","5","5"
"2025/10/08 9:17:43 pm GMT+8","20","Female","School of Electrical and Computer Engineering","Yes","Yes","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/10/08 9:18:00 pm GMT+8","19","Female","School of Electrical and Computer Engineering","No","Yes","","4","3","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","4","4"
"2025/10/08 9:23:04 pm GMT+8","20","Male","School of Economics and Management","No","Yes","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5"
"2025/10/08 9:33:54 pm GMT+8","18","Female","School of Foundation Studies","Yes","No","","5","5","5","4","5","4","4","5","5","4","2","3","4","3","3","4","4","5","5","5","5","5","5"
