"Timestamp","Age  ","Gender","Form","  Have you played Pickleball before?  ","Experience with motion-based digital games (e.g. Nintendo Switch/Wii games)","The game helped me understand how body movement and reaction time affect performance. ","I became more aware of physical concepts (e.g. balance, coordination) while playing. ","The game encouraged me to experiment and observe how actions affect outcomes. ","I could connect the gameplay experience to real-world sports or science. ","The human pose detection worked effectively to support gameplay. ","The game technology (Unity + webcam) felt reliable and responsive. ","The use of real-time tracking increased my interest in digital technologies. ","I found the game easy to use without special hardware such as remote controller.","The system design (paddle, ball, scoring) was logical and easy to understand. ","The integration of components (pose detection, Unity, scoring) worked smoothly. ","The game demonstrated how system parts can interact to achieve results. ","Playing the game made me curious about how such systems are engineered. ","The visuals and graphics were appealing and enhanced my experience. ","The creativity of the game design made it more engaging. ","The sound and UI design improved immersion. ","The overall presentation motivated me to continue playing. ","I could see how scoring reflected mathematical calculations. ","The timing and angles of ball movement related to mathematical concepts. ","I understood how geometry (angles, trajectories) affects outcomes. ","I became more aware of quantitative aspects (speed, accuracy, score).","The game was enjoyable and motivated me to continue playing. ","I learned something new or gained insights through the gameplay. ","I believe this game could be useful in an educational or training setting. "
"2025/11/21 2:07:39 pm GMT+8","18","Male","Form 6","Yes","Yes","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/11/21 2:12:47 pm GMT+8","18","Male","Form 6","Yes","Yes","3","3","3","4","4","3","4","3","2","2","3","3","3","2","3","3","2","2","2","3","3","3","3"
"2025/11/21 2:16:09 pm GMT+8","18","Male","Form 6","Yes","Yes","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/11/21 2:20:41 pm GMT+8","18","Female","Form 6","No","Yes","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"2025/11/21 2:22:08 pm GMT+8","18","Male","Form 6","No","Yes","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/11/21 2:22:44 pm GMT+8","18","Female","Form 6","No","Yes","3","4","3","4","4","4","4","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4"
"2025/11/21 2:27:30 pm GMT+8","18","Male","Form 6","No","Yes","3","4","3","5","3","4","3","4","3","4","3","4","4","4","3","3","4","3","4","3","4","4","3"
"2025/11/21 2:27:33 pm GMT+8","18","Male","Form 6","No","No","3","3","3","3","3","3","3","3","4","3","3","4","3","4","4","3","3","4","4","4","3","3","3"
"2025/11/21 2:28:11 pm GMT+8","18","Male","Form 6","No","Yes","4","5","3","2","2","2","3","4","4","3","3","2","5","3","3","3","3","3","2","4","3","4","4"
"2025/11/21 2:28:44 pm GMT+8","18","Male","Form 6","No","Yes","3","4","3","2","2","3","4","4","4","3","3","4","3","3","2","3","4","4","3","4","3","3","4"
"2025/11/21 2:43:02 pm GMT+8","18","Male","Form 6","Yes","Yes","3","3","5","3","5","4","4","5","5","4","4","4","3","3","3","4","4","4","2","3","2","4","4"
"2025/11/21 2:43:39 pm GMT+8","18","Female","Form 6","No","Yes","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/11/21 2:43:53 pm GMT+8","18","Male","Form 6","No","Yes","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/11/21 2:44:19 pm GMT+8","18","Male","Form 6","No","Yes","4","4","5","4","5","5","5","5","5","5","5","5","5","4","4","4","4","4","4","4","4","5","5"
"2025/11/21 2:44:28 pm GMT+8","18","Male","Form 6","No","No","4","4","3","4","4","4","4","4","5","3","4","5","3","3","4","4","4","4","3","5","3","4","4"
"2025/11/21 2:44:39 pm GMT+8","18","Male","Form 6","Yes","No","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2025/11/21 2:45:00 pm GMT+8","18","Male","Form 6","No","Yes","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2025/11/21 2:45:10 pm GMT+8","18","Male","Form 6","No","Yes","4","4","4","4","4","4","4","3","5","2","4","5","3","3","2","4","5","5","5","5","5","4","3"
"2025/11/21 2:50:11 pm GMT+8","18","Male","Form 6","Yes","Yes","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
